Form	Word	Scribe	Page	Grammar	Vowel	Syllable
foraldod	aldian	Hatt1	205.09	perf.n.nom.sg.	o	final
losad	losian	Hatt1	205.09	perf.n.nom.sg.	a	final
geðafedon	þafian	Hatt1	205.11	pret.3.pl.ind.	e	mid
costade	costian	Hatt1	205.13	perf.m.nom.pl.	a	mid
gebetrode	beterian	Hatt1	205.23	perf.m.nom.pl.	o	mid
gehefegode	hefegian	Hatt1	207.15	pret.3.sg.ind.	o	mid
fortrūwodan	trūwian	Hatt1	209.04	perf.m.nom.pl.weak	o	mid
fortrūwodan	trūwian	Hatt1	209.05	perf.m.nom.pl.weak	o	mid
fortrūwudan	trūwian	Hatt2	209.09	perf.m.nom.pl.weak	u	mid
ofertrūwedena	trūwian	Hatt2	209.13	perf.m.gen.pl.weak	e	mid
wilnodon	wilnian	Hatt2	209.18	pret.3.pl.ind.	o	mid
geholode	holian	Hatt2	209.19	perf.f.acc.sg.	o	mid
fortrūwudan	trūwian	Hatt2	209.2	perf.m.nom.pl.weak	u	mid
geðrēade	þrēagan	Hatt1	211.2	perf.f.nom.pl.	contracted	mid
līcode	līcian	Hatt1	213.2	pret.3.sg.ind.	o	mid
āholodne	holian	Hatt1	217.19	perf.m.acc.sg.	o	mid
tiolode	tilian	Hatt1	233.22	pret.3.sg.ind.	o	mid
geæfstgode	æfestian	Hatt1	235.03	pret.3.sg.ind.	o	mid
hnipode	hnipian	Hatt1	235.06	pret.3.sg.ind.	o	mid
gemetgode	metgian	Hatt1	237.11	pret.3.sg.ind.	o	mid
ābisgode	bisgian	Hatt1	239.07	perf.m.nom.pl.	o	mid
ðrēade	þrēagan	Hatt1	245.03	pret.3.sg.ind.	contracted	mid
cleopode	clipian	Hatt1	247.2	pret.1.sg.ind.	o	mid
gebrosnod	brosnian	Hatt1	249.14	perf.n.nom.sg.	o	final
gebrosnod	brosnian	Hatt1	251.09	perf.n.nom.sg.	o	final
geteohchad	teohhian	Hatt1	251.23	supine	a	final
cliopode	clipian	Hatt1	253.06	pret.3.sg.ind.	o	mid
geendod	endian	Hatt1	255.06	perf.n.nom.sg.	o	final
weorðodon	weorðian	Hatt1	255.07	pret.1.pl.ind.	o	mid
getācnod	tācnian	Hatt1	255.19	perf.n.nom.sg.	o	final
gebrocad	brocian	Hatt1	257.07	perf.m.nom.sg.	a	final
ðrēade	þrēagan	Hatt1	257.11	pret.3.sg.ind.	contracted	mid
cleopode	clipian	Hatt1	257.12	pret.3.sg.ind.	o	mid
gebrocode	brocian	Hatt1	257.14	perf.n.nom.sg.weak	o	mid
gesārgod	sārgian	Hatt1	257.23	perf.m.nom.sg.	o	final
gebrocodan	brocian	Hatt1	257.24	perf.n.dat.sg.weak	o	mid
gemanode	manian	Hatt1	259.19	perf.m.nom.pl.	o	mid
bismredon	bismerian	Hatt2	261.06	pret.3.pl.ind.	e	mid
geðafode	þafian	Hatt1	261.11	pret.3.sg.ind.	o	mid
geðafode	þafian	Hatt1	261.12	pret.3.sg.ind.	o	mid
geðafode	þafian	Hatt1	261.13	pret.3.sg.ind.	o	mid
gefandode	fandian	Hatt1	261.15	pret.3.sg.ind.	o	mid
swūgode	swūgian	Hatt1	261.17	pret.3.sg.ind.	o	mid
geðafode	þafian	Hatt1	261.21	pret.3.sg.ind.	o	mid
āheardode	heardian	Hatt1	263.04	perf.m.nom.pl.	o	mid
āheardode	heardian	Hatt2	263.08	perf.m.nom.pl.	o	mid
geāgnudu	āgnian	Hatt2	263.22	perf.n.nom.pl.	u	mid
āheardode	heardian	Hatt2	265.17	perf.m.nom.pl.	o	mid
sārgode	sārgian	Hatt2	267.07	pret.3.sg.ind.	o	mid
lācnodon	lācnian	Hatt2	267.09	pret.1.pl.ind.	o	mid
gelācnad	lācnian	Hatt2	267.1	perf.f.nom.sg.	a	final
gehergeode	hergian	Hatt2	267.14	perf.m.nom.pl.	o	mid
ðurhwunedon	wunian	Hatt2	267.22	pret.3.pl.ind.	e	mid
gelācnode	lācnian	Hatt2	269.25	perf.m.nom.pl.	o	mid
āīdlode	īdlian	Hatt2	271.1	perf.m.nom.pl.	o	mid
gewunode	wunian	Hatt2	273.17	pret.3.sg.ind.	o	mid
